Lower layer Super Output Areas Code,Lower layer Super Output Areas,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E01026059,East Lindsey 013D,2,Shared ownership: Shared ownership,2
E01026059,East Lindsey 013D,3,Social rented: Rents from council or Local Authority,11
E01026059,East Lindsey 013D,4,Social rented: Other social rented,33
E01026059,East Lindsey 013D,5,Private rented: Private landlord or letting agency,23
E01026059,East Lindsey 013D,6,Private rented: Other private rented,16
E01026059,East Lindsey 013D,7,Lives rent free,0
E01026060,East Lindsey 009A,-8,Does not apply,0
E01026060,East Lindsey 009A,0,Owned: Owns outright,322
E01026060,East Lindsey 009A,1,Owned: Owns with a mortgage or loan,143
E01026060,East Lindsey 009A,2,Shared ownership: Shared ownership,2
E01026060,East Lindsey 009A,3,Social rented: Rents from council or Local Authority,6
E01026060,East Lindsey 009A,4,Social rented: Other social rented,23
E01026060,East Lindsey 009A,5,Private rented: Private landlord or letting agency,60
E01026060,East Lindsey 009A,6,Private rented: Other private rented,21
E01026060,East Lindsey 009A,7,Lives rent free,0
E01026061,East Lindsey 001B,-8,Does not apply,0
